Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,n,k,kinetics,reference,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class,log10_k
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,1,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,600,0,0.8573324964312685
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,20,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,12000,0,0.8573324964312685
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,100,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,60000,0,0.8573324964312685
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,1,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,700,0,1.5809249756756194
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,5,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,3500,0,1.5809249756756194
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,100,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,70000,0,1.5809249756756194
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,1,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,800,0,2.031408464251624
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,50,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,40000,0,2.031408464251624
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,100,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,80000,0,2.031408464251624
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,1,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,900,0,2.3531465462139796
