Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,n,k,kinetics,reference,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class,log10_k,alloy_group
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,1,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,600,0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,20,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,12000,0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,600,100,0.46,7.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,60000,0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,1,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,700,0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,5,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,3500,0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,700,100,0.72,38.1,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,70000,0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,1,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,800,0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,50,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,40000,0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,800,100,0.92,107.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,80000,0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,1,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,900,0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,25,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,22500,0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,50,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,45000,0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,1,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,700,0,1.740362689494244,TiZrNbHfTa
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,24,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,16800,0,1.740362689494244,TiZrNbHfTa
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,48,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,33600,0,1.740362689494244,TiZrNbHfTa
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,1,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,800,0,2.0791812460476247,TiZrNbHfTa
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,24,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,19200,0,2.0791812460476247,TiZrNbHfTa
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,48,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,38400,0,2.0791812460476247,TiZrNbHfTa
