Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,predicted_n,log10_k,alloy_group,kinetics_class
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.3333333333333333,-0.46938775510204084,0.0875,0.38,0.0,-0.49897750511247446,-1.0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.3333333333333333,-0.08163265306122448,0.0875,0.38,0.0,-0.2658486707566462,-1.0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.3333333333333333,1.5510204081632653,0.0875,0.38,0.0,0.7157464212678937,-1.0,0.8573324964312685,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.0,-0.46938775510204084,0.0875,0.38,0.0,-0.49693251533742333,-1.0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.0,-0.3877551020408163,0.0875,0.38,0.0,-0.4396728016359918,-1.0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-1.0,1.5510204081632653,0.0875,0.38,0.0,0.9202453987730062,-1.0,1.5809249756756194,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.6666666666666666,-0.46938775510204084,0.0875,0.38,0.0,-0.4948875255623722,-1.0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.6666666666666666,0.5306122448979592,0.0875,0.38,0.0,0.3067484662576687,-1.0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.6666666666666666,1.5510204081632653,0.0875,0.38,0.0,1.1247443762781186,-1.0,2.031408464251624,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.3333333333333333,-0.46938775510204084,0.0875,0.38,0.0,-0.49284253578732107,-1.0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.3333333333333333,0.02040816326530612,0.0875,0.38,0.0,-0.05112474437627812,-1.0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505903,0.4223215800256721,-0.3333333333333333,0.5306122448979592,0.0875,0.38,0.0,0.40899795501022496,-1.0,2.3531465462139796,Al23.5Ti23.5V23.5Zr6Nb23.5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.46076805291318257,-1.0,-0.46938775510204084,-0.5,0.0,0.0,-0.49693251533742333,-1.0,1.740362689494244,TiZrNbHfTa,0
