Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.3333333333333333,-0.4693877551020408,0.0875,0.38,0.0,-0.4989775051124744,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.3333333333333333,-0.0816326530612244,0.0875,0.38,0.0,-0.2658486707566462,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.3333333333333333,1.5510204081632653,0.0875,0.38,0.0,0.7157464212678937,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.0,-0.4693877551020408,0.0875,0.38,0.0,-0.4969325153374233,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.0,-0.3877551020408163,0.0875,0.38,0.0,-0.4396728016359918,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-1.0,1.5510204081632653,0.0875,0.38,0.0,0.9202453987730062,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.6666666666666666,-0.4693877551020408,0.0875,0.38,0.0,-0.4948875255623722,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.6666666666666666,0.5306122448979592,0.0875,0.38,0.0,0.3067484662576687,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.6666666666666666,1.5510204081632653,0.0875,0.38,0.0,1.1247443762781186,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.3333333333333333,-0.4693877551020408,0.0875,0.38,0.0,-0.492842535787321,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.3333333333333333,0.0204081632653061,0.0875,0.38,0.0,-0.0511247443762781,0
1.175,0.0,0.5882352941176471,1.175,0.0,0.3,0.6363636363636364,0.0,0.0,-0.476,0.0,-0.9528538213505904,0.4223215800256721,-0.3333333333333333,0.5306122448979592,0.0875,0.38,0.0,0.4089979550102249,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-1.0,-0.4693877551020408,-0.5,0.0,0.0,-0.4969325153374233,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-1.0,0.0,-0.5,0.0,0.0,-0.1676891615541922,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-1.0,0.4897959183673469,-0.5,0.0,0.0,0.1758691206543967,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-0.6666666666666666,-0.4693877551020408,-0.5,0.0,0.0,-0.4948875255623722,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-0.6666666666666666,0.0,-0.5,0.0,0.0,-0.1186094069529652,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,-0.6666666666666666,0.4897959183673469,-0.5,0.0,0.0,0.2740286298568507,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,0.0,-0.4693877551020408,-0.5,0.0,0.0,-0.4907975460122699,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,0.0,-0.2448979591836734,-0.5,0.0,0.0,-0.2658486707566462,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.524,0.0,0.6219397418483759,-0.4607680529131825,0.0,0.0,-0.5,0.0,0.0,-0.0204498977505112,0
